('1203045', '艾热 AIR')
('30377220', '陈麒名')
('33908640', 'Choco抽口')
('32720055', 'Crazy Donkey')
('1084178', 'Candy_Wind')
('2117', '侧田')
('2118', '成龙')
('13681463', '崔铭珈')
('2331', '陈翔')
('12095299', '陈柯宇')
('31252052', '春野杉卉')
('33697021', '曹杨Young')
('1140028', '承利')
('2201', '陈势安')
('13056440', '陈立农')
('35731880', '村西')
('34318335', '陈越龙')
('12936319', 'Charlie')
('50449264', '辰辰子')
('48922494', '陈烈')
('33390699', '潮音铭帝')
('51255935', '陈文杰的音悦')
('31052925', '川屿')
('13447762', '陈亦云')
('35603471', '纯音乐馆')
('12079044', '陈硕子')
('52119057', '天赐的声音宇晓')
('12065161', '陈佳伦')
('1149014', '厨房仔')
('2150', '陈冠蒲')
('33320567', '苍弟（半吨兄弟）')
('2121', '蔡旻佑')
('12538488', 'Crazy Bucket 陈楒潼')
('33711050', 'CFrie木焱')
('33238413', '陈智凌')
('12434106', '陈尤利')
('52085766', 'CK.MUZ')
('2130', '蔡国权')
('854358', '陈令韬')
('2291', '陈艺鹏')
('49815659', '程程ya')
('48637873', '陈柯霓（CHENge）')
('12965836', '超星男孩')
('963409', '陈学冬')
('34318343', 'Cc椿')
('34589586', '陈知远')
('34918869', 'Cheng橙zzzz')
('33394182', '陈志林Mega')
('47971578', '潮音轩sir')
('2294', '陈光荣')
('12193309', 'CREAM D')
('30000267', '蔡耀轩')
('32264375', '从和文')
('36109845', 'CHOCKEY')
('34497686', 'ChillSUGA')
('1038074', '茶茶')
('52896598', 'Chenyu陈鱼！')
('31055', 'Cee')
('12490206', 'Credit')
('34564181', '菜篮中的菜')
('31087528', '陈奕辰Kane')
('2153', '常石磊')
('31093206', 'Cas14')
('1047298', 'CADY')
('48636050', '川子')
('2135', '陈勋奇')
('12177051', 'C.A.R.L')
('1143033', '队长')
('12060040', '杜宣达')
('12333145', 'DP龙猪')
('33211729', '抖音热歌DJ')
('12760523', '董唧唧')
('12146142', '大壮')
('13027753', '等一下就回家')
('2517', '刀郎')
('12308485', 'dylanf')
('28083231', '邓典')
('2516', '迪克牛仔')
('2522', '杜德伟')
('12965215', '邓典果DDG')
('12185299', '电鸟个灯泡')
('12050038', 'DJ阿福')
('12059017', '大能人(雷智皓)')
('12077048', 'Darren达布希勒图')
('12236265', 'Dobi')
('12270100', '大喜')
('31051672', 'DJR7')
('12120169', '狄迪（D-DAY）')
('30600467', 'DJ刘超')
('33908350', 'DEITIES')
('12304113', '大布')
('52403981', '热歌榜')
('33204635', 'DJ野马')
('791534', '戴荃')
('12306430', '邓壬鑫')
('2524', '大张伟')
('30285100', '段弋')
('51497923', '张万森')
('51906694', '对神明认栽xm.')
('31626589', '大笨')
('12054456', '董又霖')
('33837450', '达芬奇')
('35784564', '弹壳Danko')
('12001195', 'DiESi')
('35244973', 'DJ KAI')
('12039199', '邓见超')
('12292356', '灯灯灯泡')
('2515', '窦唯')
('2569', '丁可')
('896942', '冬子')
('49407714', '电音任瑶')
('31051841', 'Double呆')
('50274913', '多谎话')
('30292679', 'DJ·less')
('12064126', 'DjYaha')
('30477866', 'DJ老鹏')
('12433758', '倒悬的橘子')
('12508157', 'DOATSR4E')
('49407514', '大白鸽')
('30129493', '德吉老爷')
('34663536', 'DJ可乐')
('12114249', '大D(DLyn)')
('51212752', 'dj豪豪')
('12052013', '杜子异Duzzy')
('34538324', 'DopeZ')
('34310301', 'DJ何友')
('31060560', 'Doggie')
('12568985', 'DJHO')
('5532', '大Q秉洛')
('12204127', 'DouDou')
('12250324', 'DJ马哥')
('29265558', '邓岳章')
('2514', '蛋堡')
('34634704', 'Dark')
('671001', '东南')
('33842509', 'DripLuv')
('53098116', '东子zii')
('31959837', 'DjSoRunSaz')
('51922166', 'sakura')
('12699917', '帝听sakya')
('1197118', '大宽')
('1043290', 'DENKI SAMA')
('32172259', 'Davin大文')
('37503236', '旦佬仙森.Music')
('13908765', '大C')
('1195065', '丁丁RaJor')
('52244266', 'DJ川渝')
('49089046', 'DJ Boen')
('12497226', 'DryJo')
('12894239', '丁世光')
('51131605', 'DJA乐')
('12037259', 'DoubleC大宝西')
('33106428', '电子虫')
('34373900', 'Dox Main 潇潇')
('33990099', 'Daniel One')
('32781175', '邓森')
('188681', '大鹏')
('12185216', '戴思蒙德')
('53464136', 'Dj-jin')
('1203015', 'Dough-Boy')
('12085627', 'Delos')
('37673422', 'DJ韬')
('1087662', '董昱昆')
('12554857', 'Duhu')
('32887094', '独钟花臂彦')
('35887518', 'Dj PaRwaz')
('13035389', '颠倒')
('47607639', '贰万')
('11514', '二手玫瑰')
('896894', '贰佰')
('36336854', 'elijangupur')
('33710200', 'ETIRAZ99')
('13296269', 'Evan李韩宇')
('1085108', '哦漏')
('12905307', 'EINK')
('1145001', '恶梦Yk')
('12873652', 'Eskender-Uxxak')
('36031227', '恩赐')
('51138420', 'East_Xy_Pale')
('12077223', 'E8r')
('30225764', 'Eal7 NS')
('34402661', 'EMPTISO')
('31008380', 'Elyar')
('46589112', 'Ezhar-Music')
('50489299', '俄佬-Music')
('51942789', 'E.I.G')
('32220939', 'en')
('32285964', 'Ellivensen')
('12002138', 'EK')
('12118563', '也是福')
('12528597', 'Elyar Muhemmed')
('34869985', 'EGM文乐')
('47059252', '而生')
('30546823', 'eMraN-0120')
('1039899', 'eliaqsopa')
('13081030', 'Ezmet Osman')
('33496908', 'EMO')
('28187794', 'Evan')
('13860204', '鳄鱼也爱笑')
('12965194', '恩俊')
('13151409', '恩甸大发')
('13296197', '二狗村高富帅')
('12472811', 'Ericlan')
('34317866', 'Elzat')
('50221513', 'echoooo')
('51921874', '俄爹MUSIC')
('35415750', 'Eli-Rozi')
('52323513', 'Er嘉')
('28066912', 'Elham Muhemmed Ghafur')
('5875', 'EB高梦博')
('49749602', 'Elyar-a')
('51211919', 'AnZar_4I7')
('2847', 'Eric Kwok')
('34802721', 'Evan亮亮')
('12799373', 'EDT')
('50646890', 'Efforts17')
('52633451', 'Eternity-ibSi')
('48039089', 'Erpan')
('47057837', 'Edit _CWRm')
('37057004', 'Egir-KiliCh')
('12919510', 'Erbol')
('12351222', '惡靈鬼YTtwo')
('37621625', 'Erxat-Tayir')
('37009363', 'Ekko zt')
('52012480', '俄才仁')
('53260746', 'Elyar Tursun')
('31153214', 'evil')
('12605661', 'Eric Chen')
('37090318', 'Easy·Liu')
('33339157', 'evin')
('14119304', 'Erxat Muhemmet')
('33912624', 'EA7')
('34565038', 'evVen')
('46628011', 'EastDon')
('2714', 'EDIQ')
('52874476', 'Emith')
('12508202', '尔语')
('12350470', 'Ed Tom')
('12200210', '二立')
('36843309', 'Ebrayim_Music')
('47471871', '贰拾叁')
('12228820', 'Elsee')
('36703812', 'Eminniyaz Yusayin')
('34371594', 'Emardan')
('53093752', 'Li二鸣')
('35421388', 'Eliauk')
('53320040', 'EH')
('1214008', 'Emam Musajan')
('30368261', 'Esmael Ebrahim')
('34292951', 'Erkin Abdulla')
('47508358', 'Edison-ETD')
('2727', '二文')
('34786637', 'Ellison')
('51654190', 'en')
('32591137', '夜行双面猫')
('32857501', 'elxat turgun')
('33913584', '恶魔宝贝')
('27729834', 'Elijan mang lik | 艾力江·芒力科')
('51879501', 'Escape')
('49446254', 'ERTOU')
('1043383', 'Elvins.J')
('32210782', 'EvilJoker')
('48200892', 'Eliezer')
('35176609', 'EmRan-BaTur')
('48571873', 'Ezhar-上海')
('47681170', 'Erxat-Tayir')
('32502132', '耳朵Kylan')
('865007', '法老')
('12338185', 'Franky弗兰奇')
('51613721', 'FIVESTAR')
('2738', '方大同')
('1199064', 'FOX胡天渝')
('35726654', '方续Cuz')
('34618850', 'Forest龙楠林')
('50887518', 'Style')
('33002266', '福合埕在逃牛肉丸')
('37191862', '冯政FireDrippin')
('36287667', 'FAKE')
('12052056', 'Fi9江澈')
('2747', '费玉清')
('13056442', '范丞丞')
('12477288', '房子帆')
('2739', '方力申')
('34908208', '菲道尔')
('34514416', '浮笙')
('51088331', '付思遥')
('33612696', '腹黑的老吴')
('32471164', 'FocusMusic')
('1151021', '傅许')
('34318841', 'FRESH_ye')
('12213335', '枫宇辰')
('34490396', 'F-tidal night')
('29589167', '發條')
('725039', '冯允谦')
('12356808', '范世錡')
('27694696', '枫叶')
('1163007', '方磊')
('53383121', '福66')
('34136356', '房大佬')
('1032016', '风子')
('30035218', '费启鸣')
('12441087', '范甲君')
('12028291', '伏仪')
('51170237', '凤凰院零零')
('30701925', '樊棋')
('12476269', 'Funton')
('35601325', '锋锋')
('2802', '肥宝')
('50932555', 'Fluoxetine')
('34859439', '肥宅快乐雕 Phat Deal')
('48676451', '浮生月夜寂')
('956281', '符家浚')
('36624133', '放松纯音乐')
('2743', '费翔')
('2749', '范圣琦')
('34831178', '浮生')
('15064461', '方宇杰')
('2816', '冯绍峰')
('2736', '范逸臣')
('12235146', 'FAT TIGER')
('37263591', '封银沙')
('2768', '付笛声')
('32710473', '方锴豪')
('12172289', '飞行少年')
('12199836', '凡世Eros')
('46956087', '樊小小明')
('48729567', '范文强')
('48497533', '风吹雨')
('53756143', '范本桐')
('31312481', 'Flash')
('30545675', '丰子凯Remix')
('12022040', 'Fendighee Ricch')
('32501130', '范文夺')
('37459332', '冯大叔')
('1105059', '方仔Rich John')
('48571712', '付光瑞')
('15062518', 'Flashbabeboi')
('12079166', 'Forwe兰斯')
('30126503', 'FIJIDAYTONA500')
('12580547', '付思超')
('13908567', 'FLuoRiTe')
('29414956', 'FOMY')
('12140390', '废铁')
('31010545', '菲如·努尔兰')
('47058531', 'Fu')
('12350867', '浮云心丶')
('53467495', '返京的列车')
('51856810', 'Fakelove7')
('957020', '冯佳界')
('28611670', '风风kaze_')
('34779368', '凡凡凡凡凡音')
('32046122', 'Fenrir洪')
('32888816', 'Fobo$')
('48351725', '发发')
('51575479', '领头羊')
('35880691', 'FAMA呀')
('34403062', '废博')
('12373633', 'FatKan')
('2742', '方烱彬')
('36195184', '府尹大人')
('51773426', '浮世绘町')
('50039862', 'FiRe')
('34894893', '风帆')
('35147644', '风月酒肆')
('12626429', 'Fan')
('12198220', 'Fody')
('1081940', '甫平')
('2843', '郭顶')
('2849', '古巨基')
('12429072', '隔壁老樊')
('1211046', 'GAI周延')
('12127362', 'GALI')
('12453329', '功夫胖KungFuPen')
('12136078', '葛东琪')
('33900743', '高旭')
('1194094', '孤矢')
('12498266', '卦者灵风')
('1008034', '鬼卞')
('2842', '光良')
('12760978', '广东雨神')
('33912265', 'Ghulamjan Yakup')
('12027122', 'G2er')
('13497261', '谷江山')
('31014634', 'GuiltLy')
('12898527', '顾帅Gs')
('12050057', 'G.G张思源')
('12236269', '高天佐Trouble.Z')
('12479356', '郭聪明')
('12320819', '龚明威')
('13112541', 'Gibb-Z')
('12136042', '光泽')
('1199030', 'Ghulameli Ghupur')
('2987', '郭一凡')
('31004867', '光头华夏')
('12023517', '宫阁')
('27869677', 'gsl.')
('2852', '郭富城')
('1044203', '郭旭')
('50274873', 'Yxg')
('49292401', '过客')
('49199445', '歌者达达')
('11975240', '郭俊辰')
('12119020', '龚宏')
('13080288', '关大洲')
('12627262', '盖盖Nyan')
('168010', '葛林')
('13497197', '高尔宣')
('31806815', '高松检')
('2874', '顾峰')
('2868', '关喆')
('2922', '郭德纲')
('1198116', 'GalipWulam')
('768266', 'Galaxy Knight')
('50928224', '故季年')
('32971529', '顾北笙')
('12056026', '耿十三')
('12158039', '郭冠廷')
('2861', '关楚耀')
('31338246', 'G H C')
('34550347', '郭锐')
('51210586', '郭sir')
('12571129', '郭子潇')
('2863', '高进')
('32944030', 'Gareth.T')
('37405807', 'AhmaTjan Mahmut')
('12276854', '根小八')
('37265876', '桂智')
('36392436', 'GASITE')
('2959', '根呷')
('13198802', '孤妄')
('2879', '关智斌')
('13110690', '顾北宸Becing')
('1197136', '郭斯')
('2848', '郭峰')
('1177230', 'Gill Chang')
('46508541', 'GUCCI Gift')
('12312119', '顾绍灿')
('34494786', '钢琴先森')
('2963', '高安')
('27889345', '官鸿')
('32744777', '关贺')
('33736184', 'Gill·吉尔')
('34438222', '隔壁大王')
('32210847', '国武')
('51617221', '古文拉丁')
('46816437', '小顾')
('2853', '关正杰')
('33907890', '顾y泽')
('49136674', 'Graps')
('34563444', 'Fly')
('47249190', 'Geebar')
('31434580', '宫甲-罗智坚措')
('33418240', '高瀚宇')
('3009', '郭涛')
('11974118', '郭子睿')
('51440158', '顾晨木')
('12361056', 'GhostFinal')
('12158322', 'greyll')
('30599272', '沈青石')
('12623935', 'Gray Planet')
('2947', '国蛋')
('2870', '甘仕良')
('13973042', '谷嘉诚')
('53685107', 'GO哥_Official')
('30126425', 'GRK陈梓杰')
('47293047', 'Gr33nart Beats')
('12565130', 'Gm仙')
('12631485', 'h3R3')
('1019154', '黄礼格')
('861777', '华晨宇')
('12065096', '黄旭')
('12286700', '虎二')
('3066', '胡彦斌')
('3064', '胡歌')
('13007752', '韩瞳')
('3273', '胡夏')
('31003906', '胡期皓')
('36337566', 'HSHK')
('12127184', '贺仙人')
('28862362', '火鸡')
('32537132', 'HEST')
('3249', '河图')
('12491709', 'HYPEEZY')
('33373401', 'handsome lau')
('3073', '黄凯芹')
('3071', '郝云')
('3086', '海鸣威')
('33954709', 'HOPERUI')
('1177014', '韩安旭')
('48982958', '欢໌້ᮨ.')
('12520634', '灰澈')
('12084020', '嘿人李逵Noisemakers')
('47970976', 'Hasukio')
('36080509', '虎皮蛋')
('14080256', 'hanji')
('3058', '后弦')
('12020036', 'Hea2t')
('12092260', '黄硕N-Bomb')
('30001084', '胡睿')
('31615461', '海伦')
('3079', '黄品源')
('51130031', '黑空')
('3063', '黄义达')
('32780284', 'Haagen Dazs')
('3348', '回音哥')
('3421', '黄勇')
('29148294', '何屹繁')
('34230264', '侯东Holdon')
('12874853', '河北Ye')
('53580229', '后厂痴情组')
('1011192', '黑羊')
('12853283', '黄鲲')
('3072', '韩磊')
('34292072', 'Habar贝尔')
('3084', '洪卓立')
('3093', '黄征')
('12085631', 'HEAT J')
('13057497', '黄明昊 (Justin)')
('12205486', '黄钧泽')
('12282733', '黑崎子')
('33030905', '红人馆馆长')
('33989902', '花欲燃')
('1160166', 'Hazritiali')
('3081', '胡伟立')
('52313056', '稚名日和')
('3154', '洪荣宏')
('12609062', '灏灏灏仔')
('3337', '黄艺明')
('36843294', '会心疼我嘛')
('35789950', 'Halip oFFical')
('46998216', '花房种鱼')
('3082', '黄安')
('35134801', '会飞的Dua')
('49986799', '三亚DJ龙仔')
('3442', '胡海泉')
('52069353', '何一恒')
('3307', '晃儿')
('52509331', '涵の心事.')
('1039121', '哈布Ez')
('34601236', 'Halip丨Music')
('3090', '何炅')
('50643480', '何时')
('1049349', '胡碧乔')
('1006030', '洪尘')
('3059', '黄霑')
('3080', '黄贯中')
('36401601', '胡萝卜肉丁')
('12773144', '韩沐伯')
('30529246', '贺峻霖')
('12128446', '黑呢')
('1025202', '黄子韬')
('12282208', '绘师岸田')
('12286905', 'HHW')
('12060042', '黄恺')
('50765412', '花子默')
('12148091', 'Hayrul海力')
('36164926', '哈拉木吉')
('12360325', 'Heyo')
('34596692', '灏,')
('14119829', '琥珀琴师Louis')
('3118', '黑龙')
('50449883', '韩西北欧')
('1198071', 'HOPE-T')
('12026409', '花哨')
('13038022', 'HADE')
('3250', '火风')
('1197027', 'Haiwee')
('13145283', 'ICE')
('12121264', 'Ice Paper')
('51959578', 'IRXD7')
('28072581', 'ItsNoah')
('27727342', 'IAN-T')
('11975111', 'ilem')
('12623124', 'IDEA MUSIC')
('31956066', 'ivan蛋挞')
('34575523', 'INK')
('34235867', 'Ice-')
('12146220', 'IIYC')
('34965709', 'InnerSa')
('33105505', 'ILHAM.')
('51792832', '7')
('33166500', 'IRON')
('34050894', 'I2090')
('33037476', 'Infinite Mask')
('12027515', 'iKz')
('34244844', 'izhar-Muhtar')
('13198218', 'Ice tear')
('13681619', 'I·D·C')
('30285678', 'ilyas-abdugeni')
('50691448', 'INSTEAD')
('49193309', 'Ilyas')
('12287088', 'iFreezy')
('33094943', 'iiiMinel')
('31762704', 'IZZI')
('34310947', 'iskender Semet')
('12001067', 'igoo2u')
('13445517', 'iso punk')
('35655623', 'iozioz')
('30892264', 'INTO1林墨')
('1038374', 'iMoon')
('33710972', 'IENDS')
('35304275', 'IZZO')
('46507608', 'I9UCCI')
('51992932', 'IME')
('53623690', '神医')
('30643468', 'IRIC')
('49085552', 'Isolato')
('34351386', 'iski')
('12372494', 'CHILYNOKIA')
('48931628', 'IMYeah')
('34436832', 'iRpan')
('30003587', 'Icarus')
('48995021', 'IanBot')
('33395969', 'IXHASTER')
('51993170', 'Ink')
('13197634', 'israfil-rafil')
('33315839', 'IA BEAT')
('35784472', 'Interlink')
('956418', 'InfiniteMusic')
('12643745', 'Inogg')
('48276885', 'ibrayim-music')
('46858424', 'XJ-依')
('32696299', 'IANNE')
('13284735', 'ismayil_ruzi')
('32499281', 'Iso7I')
('32264562', 'Ishiro')
('46587905', 'Inome')
('51476123', 'ice x')
('48497603', 'iiuww')
('36775765', 'IKAYKAI')
('13153541', 'IxKIYaR')
('30005187', 'IcEananas')
('51370606', 'iphone')
('52976114', 'iss')
('12079084', 'IDopeMusic')
('51762537', 'KEY.Y')
('32244952', 'Ice Bear')
('11987075', 'impossibleChuck')
('31656663', 'Imdeadkid')
('30481802', 'IviR')
('48852411', 'InthEzen')
('31341479', 'iceydroi')
('48719057', 'iloveu88')
('29398303', 'ITSGUθY!1327')
('36706218', 'iskandarsemet')
('37334467', 'ImGalaxy')
('31339277', 'Insomnia伊索米亚')
('32852106', 'Ink渊')
('33900844', 'Islamjan rosul')
('31633639', 'INTO1伯远')
('34787648', 'ImaSeven6ix')
('34235880', 'INOID')
('12280455', 'Ian_fingerstyle')
('33820339', 'In Love With Her')
('53257275', 'IN枕头')
('33017953', 'ilhamjan-turjun')
('32209014', 'IKxXxxxx')
('12357686', 'ImpossibleStudio')
('1210079', 'INVOKE')
('37343710', 'iForty Y')
('50736157', 'Iceberg')
('12957255', 'i7')
('12570453', 'IcE江南')
('35420176', 'IDEAL')
('30906273', 'Yohann')
('30109341', 'IRONEGG')
('28186289', 'ITACHI（星星）')
('1198123', '姜云升')
('784257', 'Jony J')
('12084229', '焦迈奇')
('12641765', '江辰')
('12085016', '接个吻，开一枪')
('31253654', '井胧')
('46360442', '就是南方凯（项学凯）')
('5001', '简弘亦')
('166014', '金志文')
('12002137', 'JSore')
('47078344', '嘉琪先生')
('905426', '金润吉')
('1098154', 'JZlee')
('32747810', 'Jvlin')
('12065179', 'Jannik')
('12471927', '江皓南')
('827163', '金贵晟')
('187010', 'J. Sheon')
('30480423', 'JINBAO')
('12788788', '景向谁依')
('12092433', 'JarStick')
('12156162', '饺子')
('3535', 'Jason Chen')
('32435240', '璟轩')
('13111159', '姜铭杨')
('52587505', '纪钧瀚 (Bryan Chi)')
('13793914', '姜鹏Calm')
('1063007', '居来提')
('53362962', 'JinSheng')
('51371182', '进击的川狗子i')
('29740380', '精彩最初')
('13005262', 'JuggShots')
('13451886', 'JinJiBeWater_隼')
('34373437', 'jiajia不熬夜')
('12633617', '精彩苏刚')
('50653542', 'REBORN')
('28085561', 'JZN')
('13449630', '吉野千夜')
('3456', '姜育恒')
('27728309', 'J.well')
('12059094', 'JAEFOREAL')
('48963220', '姜冠南')
('34421545', '九千七')
('33070530', 'JERRYZ')
('12867837', 'Jalal Anwar')
('51592134', 'Jay')
('34290746', 'Jason(刘杏华)')
('34536329', '记忆病人')
('35252466', 'JjIiHhAaNnGg')
('12287730', 'J.Boss')
('53099872', '极端的杨')
('36181488', 'JAWLAN')
('33430868', '精彩周军')
('47384260', '记得每天要说晚安')
('14077329', '姜涵John Senco')
('48719066', '劫先生Music')
('34276571', '阿桔')
('50765938', '驹之心')
('12027336', 'Jiaye')
('12565605', '金弦')
('29148309', '江映东')
('34228096', 'JojoChen的秋天')
('47191153', '精彩鹤七')
('52891052', 'YiKoviNa_7')
('53242882', 'junhaolong')
('12382128', '王子健')
('47057297', '九歌传说')
('3452', '蒋大为')
('49815523', '巨鹿')
('51845118', '旧忆')
('3521', '姜洋')
('12488044', '贾昱')
('30547539', 'J.C.Zhou')
('13113369', 'JD')
('3526', 'JR Fog')
('12166115', 'Jason.c')
('12139290', '九月橙')
('3453', '蒋志光')
('12426054', '江源东')
('3462', '吉杰')
('51705275', '锦辰Music')
('12118158', '静sir')
('13609748', 'JIPSA')
('32438384', 'JumJum')
('27694332', '贾盛强')
('27869312', '江北')
('34227389', '贾天洋')
('1038352', '蒋敦豪')
('30957760', 'J-Kay')
('34198447', '九万李')
('53098542', '71snxx')
('13156610', '街憬')
('12451170', 'JA符龙飞')
('1202004', '姜创钢琴')
('31621879', '街溜子')
('37624037', 'JestonBeatz')
('33480356', '江迟同学')
('50496122', 'Jason的森风')
('1106073', '贾乃亮')
('15195858', '锦鲤少年')
('12788674', 'KEY.L刘聪')
('27868624', 'KnowKnow')
('12024274', 'Kafe.Hu')
('30284835', '枯木逢春')
('13790589', '坤木Joymo')
('30000975', '空匪')
('32743623', '肯迪仔')
('28642672', 'kkluv')
